"","gridcode","adm_name","area","M_1_2020","M_4_2020","M_5_2020","M_10_2020","M_15_2020","M_20_2020","M_25_2020","M_30_2020","M_35_2020","M_40_2020","M_45_2020","M_50_2020","M_55_2020","M_60_2020","M_65_2020","M_70_2020","M_75_2020","M_80_2020","F_1_2020","F_4_2020","F_5_2020","F_10_2020","F_15_2020","F_20_2020","F_25_2020","F_30_2020","F_35_2020","F_40_2020","F_45_2020","F_50_2020","F_55_2020","F_60_2020","F_65_2020","F_70_2020","F_75_2020","F_80_2020","total_pop","total_M","total_F"
"0",1,"CDDHS2013503010","Middle Africa",1.29,5.1,5.24,4.88,5.33,5.06,3.96,3.25,2.68,2.25,2.29,1.61,1.23,0.76,0.66,0.42,0.34,0.18,1.35,5.32,5.97,5.56,6.08,6.51,5.1,4.18,3.45,2.9,2.16,1.51,1.16,0.72,0.62,0.39,0.32,0.17,4004751.11,1863641.69,2141109.42
"1",2,"CDDHS2013503020","Middle Africa",1.62,6.67,7.21,5.77,5.37,3.22,3.38,2.8,2.33,1.95,1.43,1.34,1.14,0.77,0.75,0.51,0.57,0.18,1.77,7.31,6.65,5.32,4.95,4.32,4.53,3.76,3.12,2.62,1.84,1.74,1.48,0.99,0.97,0.65,0.73,0.23,4328755.43,2034762.13,2293993.3
"2",3,"CDDHS2013503030","Middle Africa",1.94,6.94,7.62,6.29,4.77,3.51,3.08,2.75,2.43,2.04,1.65,1.25,0.85,0.67,0.61,0.43,0.22,0.17,2,7.15,7.79,6.43,4.88,4.37,3.83,3.43,3.02,2.54,2.06,1.57,1.07,0.84,0.77,0.53,0.28,0.21,16355982.96,7725605.03,8630377.93
"3",4,"CDDHS2013503040","Middle Africa",1.77,7.33,8.57,6.64,5.68,3.55,3.22,2.81,2.31,1.86,1.61,1.17,0.96,0.59,0.39,0.37,0.24,0.11,1.83,7.55,7.69,5.95,5.09,4.3,3.9,3.41,2.8,2.26,1.78,1.3,1.07,0.66,0.44,0.42,0.27,0.12,12562578.73,6177816.42,6384762.31
"4",5,"CDDHS2013503050","Middle Africa",1.66,6.95,7.21,5.94,4.63,4.07,3.48,3.05,2.48,1.82,1.73,1.56,1.38,0.94,0.61,0.46,0.27,0.14,1.57,6.57,7.59,6.26,4.88,4.55,3.89,3.41,2.78,2.04,1.96,1.77,1.57,1.07,0.7,0.53,0.31,0.16,7303398.65,3534233.22,3769165.43
"5",6,"CDDHS2013503061","Middle Africa",1.63,6.5,7.2,6.77,5.52,4.15,3.08,2.12,2.02,1.83,1.36,1.12,0.98,0.82,0.68,0.38,0.16,0.26,1.76,7.02,7.87,7.39,6.03,5.22,3.87,2.67,2.54,2.31,1.59,1.31,1.14,0.96,0.8,0.44,0.19,0.31,12662669.6,5896862.73,6765806.87
"6",7,"CDDHS2013503062","Middle Africa",1.7,7.35,7.92,6.37,4.12,4.22,2.99,3.09,2.27,1.99,1.56,1.36,1.06,1.11,0.58,0.46,0.24,0.18,1.58,6.81,8.47,6.81,4.41,4.51,3.21,3.32,2.44,2.14,1.84,1.6,1.25,1.31,0.69,0.54,0.28,0.22,3148696.29,1529127.64,1619568.65
"7",8,"CDDHS2013503063","Middle Africa",2.33,7.27,7.67,6.83,5.87,4.23,3.4,2.39,1.96,1.62,1.32,1.05,0.9,0.9,0.49,0.37,0.17,0.21,2.13,6.64,7.36,6.55,5.63,4.98,4.01,2.82,2.31,1.91,1.62,1.29,1.11,1.11,0.61,0.46,0.21,0.26,10012618.22,4905336.73,5107281.49
"8",9,"CDDHS2013503070","Middle Africa",2.05,7.15,8.02,6.22,5.17,3.92,3.45,3,2.12,1.64,1.54,1.34,1.01,0.71,0.51,0.47,0.25,0.17,2.12,7.38,8.04,6.24,5.19,4.46,3.92,3.41,2.41,1.87,1.59,1.39,1.05,0.74,0.53,0.49,0.26,0.18,8795652.53,4288065.71,4507586.82
"9",10,"CDDHS2013503080","Middle Africa",1.82,7.01,7.75,7.18,5.63,4.2,3.13,2.75,2.05,1.54,1.35,1.27,0.9,0.81,0.5,0.33,0.31,0.12,1.85,7.15,7.56,7,5.49,4.92,3.66,3.22,2.4,1.81,1.52,1.44,1.01,0.91,0.56,0.37,0.35,0.14,7426889.8,3612459.37,3814430.43
"10",11,"CDDHS2013503090","Middle Africa",2.28,7.03,7.98,6.2,5.27,3.52,2.99,2.34,2.07,1.62,1.37,1.07,0.98,0.59,0.57,0.33,0.19,0.11,2.38,7.33,8.54,6.64,5.65,4.54,3.86,3.02,2.67,2.09,1.78,1.39,1.28,0.77,0.73,0.42,0.24,0.15,2903190.72,1350450.28,1552740.44
